respondent_id,persona_label,Q1_age_group,Q2_gender,Q3_state,Q4_city_tier,Q5_education,Q6_occupation,Q_hh_size,Q_hh_type,Q_children_under15,Q_waste_segregation,Q_purchase_decision_maker,Q7_income_band,Q7_income_midpoint_INR,Q8_monthly_spend_band,Q8_spend_midpoint_INR,Q9_willingness_to_pay_premium,Q10_eco_awareness_1to5,Q11_reduce_plastic_freq,Q12_prior_eco_purchase,Q13_products_interested,Q14_clothing_types,Q15_cookware_types,Q16_colour_preference,Q17_purchase_occasions,Q18_primary_channel,Q19_top3_purchase_factors,Q20_shopping_frequency,Q21_bundle_deal_appeal_1to5,Q22_social_media_channels,Q23_eco_label_influence_1to5,Q24_purchase_barrier,Q25_purchase_likelihood,Q25_purchase_binary
R0848,High-Income Premium Buyer,26-35,Female,Odisha,Tier-2 city,Undergraduate,Wedding/family function,1,Nuclear,0.0,Yes,Elders / Family head,Above 100000,130000,5001-10000,7500,More than 25% premium,3,Sometimes,Yes regularly,Outdoor Garden Furniture | Storage Organisers | Stationery/School Supplies,Cotton sarees | Silk/Banarasi sarees | Salwar suits/Kurtis | Western wear | Formal office wear,Iron/Cast iron | Ceramic-coated,Dark/Neutral | Pastels | Earthy tones,Back-to-school | Sale events,Modern retail (D-Mart etc.),Quality/Durability | Eco-friendly credentials | Design/Aesthetics,Once a month,4,YouTube | WhatsApp groups,3,No barrier - would buy,Very likely,1
R0849,Rural / Agri Household,36-50,Female,Odisha,Tier-3 town,12th / Diploma,New home/shifting,4,Joint family,1.0,Sometimes,Self,Below 15000,10000,Below 500,300,Same price,3,Never,No and not interested,None of the above,Cotton sarees | Synthetic/polyester sarees | Salwar suits/Kurtis,Iron/Cast iron | Non-stick (Teflon) | Aluminium,Earthy tones | White/Off-white,Festivals | New home/shifting | When product breaks/runs out,Modern retail (D-Mart etc.),Price/Affordability | Quality/Durability | Friends/Family recommendation,Once every 3 months,4,YouTube | WhatsApp groups | Don't use social for discovery,3,Doubt about quality,Very unlikely,0
R0850,Student Young Urban,18-25,Female,Assam,Tier-2 city,Postgraduate or above,Wedding/family function,2,Joint family,0.0,No,Self,Below 15000,10000,500-2000,1250,Same price,5,Always / It's a habit,No and not interested,Storage Organisers | Stationery/School Supplies,Salwar suits/Kurtis | Western wear | Formal office wear,Non-stick (Teflon) | Aluminium,Dark/Neutral | White/Off-white | Bright/Vibrant,Back-to-school | Sale events,Quick commerce (Blinkit/Zepto),Price/Affordability | Quality/Durability | Eco-friendly credentials,Once every 3 months,4,Instagram,4,Doubt about quality,Unlikely,0
R0851,Urban Eco Millennial,26-35,Male,Karnataka,Metro,Postgraduate or above,New home/shifting,2,Nuclear,0.0,Yes,Both equally,60001-100000,80000,2001-5000,3500,Same price,4,Always / It's a habit,Yes regularly,rPET Bottles/Containers | Outdoor Garden Furniture | Stationery/School Supplies,Synthetic/polyester sarees | Salwar suits/Kurtis | Formal office wear,Stainless steel | Aluminium,White/Off-white,Back-to-school | Sale events,Local market / Kirana,Quality/Durability | Social media/Influencer | Design/Aesthetics,2-3 times a month,5,Instagram | YouTube | WhatsApp groups,4,Higher price,Unlikely,0
R0852,Traditional Joint Family,26-35,Male,Telangana,Rural / Village,Undergraduate,Sale events,5,Joint family,1.0,Yes,Elders / Family head,15000-30000,22500,500-2000,1250,Up to 10% more,2,Rarely,No and not interested,Storage Organisers,Cotton sarees | Silk/Banarasi sarees | Synthetic/polyester sarees | Salwar suits/Kurtis,Iron/Cast iron | Stainless steel | Clay/Terracotta,White/Off-white | Bright/Vibrant,Festivals | Wedding/family function | Back-to-school | Sale events,Local market / Kirana,Price/Affordability | Quality/Durability | Brand trust,Once a month,3,Facebook,3,Doubt about quality,Very unlikely,0
R0853,Price-Sensitive Middle India,Above 50,Female,Madhya Pradesh,Tier-3 town,Undergraduate,New home/shifting,2,Joint family,2.0,Yes,Self,30001-60000,45000,2001-5000,3500,Up to 10% more,4,Rarely,Yes regularly,rPET Bottles/Containers | Storage Organisers | Stationery/School Supplies,Cotton sarees | Salwar suits/Kurtis | Western wear,Iron/Cast iron | Stainless steel | Aluminium,Bright/Vibrant,Festivals | New home/shifting | Sale events | When product breaks/runs out,D2C brand website,Price/Affordability | Quality/Durability | Brand trust,Once every 3 months,4,Instagram | WhatsApp groups,3,Higher price,Unlikely,0
R0854,Traditional Joint Family,36-50,Female,Tamil Nadu,Tier-3 town,12th / Diploma,When product breaks/runs out,5,Joint family,2.0,No,Self,15000-30000,22500,Below 500,300,Up to 10% more,3,Sometimes,No but interested,rPET Bottles/Containers | Storage Organisers,Cotton sarees | Silk/Banarasi sarees | Salwar suits/Kurtis,Iron/Cast iron | Stainless steel | Ceramic-coated | Clay/Terracotta,Earthy tones | White/Off-white | Bright/Vibrant,Festivals | Wedding/family function | Back-to-school | Sale events,Local market / Kirana,Friends/Family recommendation | Brand trust | Design/Aesthetics,Once a month,3,Instagram | YouTube | Facebook | WhatsApp groups | Meesho/ShareChat,3,Not easily available,Unlikely,0
R0855,Price-Sensitive Middle India,26-35,Male,Telangana,Tier-2 city,Undergraduate,Festivals,4,Joint family,0.0,Sometimes,Elders / Family head,30001-60000,45000,500-2000,1250,More than 25% premium,2,Rarely,No and not interested,rPET Bottles/Containers | Storage Organisers,Cotton sarees | Synthetic/polyester sarees | Salwar suits/Kurtis,Clay/Terracotta,White/Off-white | Pastels | Earthy tones,Festivals | Wedding/family function,Online Amazon/Flipkart,Price/Affordability | Friends/Family recommendation | Quality/Durability,2-3 times a month,3,Instagram | YouTube | Facebook | WhatsApp groups,5,Distrust eco-claims (greenwashing),Neutral,0
R0856,Price-Sensitive Middle India,Below 18,Male,Rajasthan,Tier-3 town,Postgraduate or above,Wedding/family function,3,Nuclear,2.0,No,Elders / Family head,30001-60000,45000,Above 10000,12000,Only if cheaper,2,Sometimes,No and not interested,rPET Bottles/Containers | Storage Organisers | Stationery/School Supplies,Cotton sarees | Silk/Banarasi sarees | Synthetic/polyester sarees | Salwar suits/Kurtis | Western wear,Non-stick (Teflon),Pastels | White/Off-white | Dark/Neutral,Festivals | New home/shifting | Sale events | When product breaks/runs out,Local market / Kirana,Quality/Durability | Price/Affordability | Design/Aesthetics,Rarely / Only when needed,2,Instagram | YouTube | Facebook | WhatsApp groups,1,Not easily available,Very unlikely,0
R0857,Urban Eco Millennial,26-35,Male,Maharashtra,Metro,Undergraduate,New home/shifting,3,Joint family,0.0,Yes,Elders / Family head,30001-60000,45000,2001-5000,3500,More than 25% premium,5,Sometimes,Yes once or twice,Outdoor Garden Furniture | Storage Organisers | Stationery/School Supplies,Silk/Banarasi sarees | Salwar suits/Kurtis | Western wear,Non-stick (Teflon) | Ceramic-coated | Aluminium,Earthy tones | White/Off-white,Festivals | Wedding/family function | Sale events,Online Amazon/Flipkart,Price/Affordability | Quality/Durability | Brand trust,Once a month,2,Instagram | Facebook,5,Doubt about quality,Neutral,0
R0858,Rural / Agri Household,18-25,Male,Madhya Pradesh,Rural / Village,Undergraduate,Back-to-school,3,Joint family,3.0,No,Elders / Family head,Below 15000,10000,2001-5000,3500,Same price,4,Rarely,No and not interested,Agri Crates/Tools,Synthetic/polyester sarees,Aluminium,Bright/Vibrant | White/Off-white | Earthy tones,New home/shifting | Wedding/family function | When product breaks/runs out,Local market / Kirana,Price/Affordability | Friends/Family recommendation | Brand trust,Once every 3 months,3,Facebook | Don't use social for discovery,4,Higher price,Unlikely,0
R0859,Rural / Agri Household,26-35,Male,Bihar,Rural / Village,12th / Diploma,Sale events,4,Joint family,0.0,Yes,Elders / Family head,15000-30000,22500,500-2000,1250,Up to 25% more,1,Never,No and not interested,Agri Crates/Tools,Cotton sarees,Stainless steel,Earthy tones | Bright/Vibrant | White/Off-white,Festivals | New home/shifting | Back-to-school,Local market / Kirana,Friends/Family recommendation | Brand trust | Price/Affordability,2-3 times a month,4,Instagram | YouTube,3,Not easily available,Very unlikely,0
R0860,Urban Eco Millennial,26-35,Male,Assam,Tier-2 city,Undergraduate,When product breaks/runs out,2,Nuclear,2.0,Yes,Elders / Family head,60001-100000,80000,Above 10000,12000,More than 25% premium,4,Always / It's a habit,No but interested,rPET Bottles/Containers | Outdoor Garden Furniture,Cotton sarees | Salwar suits/Kurtis | Western wear | Formal office wear,Non-stick (Teflon) | Stainless steel,Pastels | Dark/Neutral,Festivals | Back-to-school | Sale events | When product breaks/runs out,Online Amazon/Flipkart,Eco-friendly credentials | Design/Aesthetics | Friends/Family recommendation,Once a month,3,Instagram | YouTube | WhatsApp groups,4,No barrier - would buy,Very likely,1
R0861,Traditional Joint Family,36-50,Male,West Bengal,Rural / Village,Up to 10th,When product breaks/runs out,5,Joint family,0.0,Sometimes,Self,15000-30000,22500,Below 500,300,Only if cheaper,4,Often,No but interested,Storage Organisers | Agri Crates/Tools,Cotton sarees | Silk/Banarasi sarees | Synthetic/polyester sarees | Salwar suits/Kurtis,Iron/Cast iron | Non-stick (Teflon) | Stainless steel | Clay/Terracotta,Bright/Vibrant | White/Off-white,New home/shifting | Wedding/family function | Back-to-school | Sale events,Local market / Kirana,Price/Affordability | Quality/Durability | Brand trust,Once every 3 months,3,YouTube | Facebook,3,Doubt about quality,Unlikely,0
R0862,Rural / Agri Household,36-50,Female,Bihar,Rural / Village,Undergraduate,Wedding/family function,4,Joint family,2.0,No,Elders / Family head,Below 15000,10000,2001-5000,3500,Up to 10% more,3,Never,No but interested,Storage Organisers | Agri Crates/Tools,Cotton sarees | Silk/Banarasi sarees | Salwar suits/Kurtis,Stainless steel | Aluminium,White/Off-white | Bright/Vibrant,Festivals | Wedding/family function | When product breaks/runs out,Local market / Kirana,Price/Affordability | Quality/Durability | Friends/Family recommendation,Weekly,3,YouTube | Facebook | WhatsApp groups,3,Higher price,Very unlikely,0
R0863,Rural / Agri Household,Above 50,Female,Tamil Nadu,Rural / Village,Up to 10th,Festivals,5,Joint family,3.0,No,Partner / Spouse,15000-30000,22500,500-2000,1250,Same price,3,Sometimes,No and not interested,Agri Crates/Tools,Cotton sarees | Salwar suits/Kurtis,Aluminium,Bright/Vibrant | White/Off-white | No preference,Festivals | New home/shifting | When product breaks/runs out,Modern retail (D-Mart etc.),Price/Affordability | Brand trust | Friends/Family recommendation,Rarely / Only when needed,4,WhatsApp groups,2,Higher price,Unlikely,0
R0864,Rural / Agri Household,Above 50,Female,Madhya Pradesh,Tier-3 town,12th / Diploma,When product breaks/runs out,4,Joint family,2.0,No,Elders / Family head,Below 15000,10000,500-2000,1250,Up to 10% more,3,Sometimes,No and not interested,Agri Crates/Tools,Cotton sarees | Silk/Banarasi sarees | Synthetic/polyester sarees | Salwar suits/Kurtis,Stainless steel | Aluminium,Earthy tones | Bright/Vibrant | White/Off-white,Festivals | New home/shifting | Sale events,Modern retail (D-Mart etc.),Quality/Durability | Brand trust | Price/Affordability,Once a month,5,WhatsApp groups | Meesho/ShareChat | Don't use social for discovery,3,Higher price,Unlikely,0
R0865,Price-Sensitive Middle India,Above 50,Male,Bihar,Tier-2 city,Up to 10th,New home/shifting,4,Nuclear,3.0,Sometimes,Elders / Family head,30001-60000,45000,2001-5000,3500,Up to 10% more,5,Often,No but interested,Outdoor Garden Furniture | Storage Organisers | Stationery/School Supplies,Salwar suits/Kurtis | Western wear | Formal office wear,Iron/Cast iron | Stainless steel | Clay/Terracotta,Earthy tones | Bright/Vibrant,Festivals | Wedding/family function | When product breaks/runs out,Modern retail (D-Mart etc.),Friends/Family recommendation | Quality/Durability | Brand trust,Once a month,4,YouTube | Facebook | WhatsApp groups,3,Never thought about it,Unlikely,0
R0866,Rural / Agri Household,Below 18,Male,Uttar Pradesh,Rural / Village,Up to 10th,Sale events,2,Joint family,3.0,No,Elders / Family head,Below 15000,10000,Below 500,300,Up to 10% more,2,Sometimes,No but interested,Outdoor Garden Furniture | Agri Crates/Tools | Stationery/School Supplies,Cotton sarees | Silk/Banarasi sarees | Salwar suits/Kurtis,Iron/Cast iron | Stainless steel | Ceramic-coated | Aluminium | Clay/Terracotta,White/Off-white | Bright/Vibrant,Festivals | New home/shifting | When product breaks/runs out,Local market / Kirana,Price/Affordability | Design/Aesthetics | Social media/Influencer,Rarely / Only when needed,5,WhatsApp groups | Meesho/ShareChat,4,Not easily available,Very unlikely,0
R0867,Urban Eco Millennial,18-25,Female,Goa,Metro,Undergraduate,Back-to-school,2,Nuclear,0.0,Sometimes,Self,60001-100000,80000,5001-10000,7500,More than 25% premium,5,Always / It's a habit,Yes regularly,rPET Bottles/Containers | Stationery/School Supplies,Synthetic/polyester sarees | Western wear,Iron/Cast iron | Ceramic-coated,Pastels,New home/shifting | Back-to-school,Online Amazon/Flipkart,Design/Aesthetics | Quality/Durability | Eco-friendly credentials,2-3 times a month,5,Instagram | YouTube,5,Doubt about quality,Likely,1
R0868,Price-Sensitive Middle India,26-35,Female,Punjab,Tier-3 town,Undergraduate,Sale events,5,Nuclear,0.0,No,Both equally,15000-30000,22500,500-2000,1250,Up to 10% more,3,Always / It's a habit,No but interested,rPET Bottles/Containers | Agri Crates/Tools | Stationery/School Supplies,Silk/Banarasi sarees | Salwar suits/Kurtis,Iron/Cast iron | Non-stick (Teflon) | Stainless steel,Earthy tones,Festivals,Modern retail (D-Mart etc.),Quality/Durability | Brand trust | Social media/Influencer,Once every 3 months,3,YouTube | WhatsApp groups | Meesho/ShareChat,2,Distrust eco-claims (greenwashing),Unlikely,0
R0869,Traditional Joint Family,18-25,Female,Chhattisgarh,Metro,Undergraduate,When product breaks/runs out,5,Joint family,2.0,Yes,Partner / Spouse,15000-30000,22500,5001-10000,7500,Only if cheaper,5,Often,No but interested,rPET Bottles/Containers | Outdoor Garden Furniture | Storage Organisers,Cotton sarees | Silk/Banarasi sarees | Synthetic/polyester sarees | Salwar suits/Kurtis | Formal office wear,Iron/Cast iron | Stainless steel,Earthy tones | Dark/Neutral,Festivals | New home/shifting | Wedding/family function,Local market / Kirana,Price/Affordability | Brand trust | Design/Aesthetics,Once every 3 months,5,YouTube | WhatsApp groups | Meesho/ShareChat,4,Doubt about quality,Unlikely,0
R0870,High-Income Premium Buyer,26-35,Female,Uttar Pradesh,Metro,12th / Diploma,Back-to-school,3,Nuclear,1.0,Yes,Both equally,Above 100000,130000,Above 10000,12000,Up to 25% more,5,Always / It's a habit,Yes once or twice,Storage Organisers | Stationery/School Supplies,Cotton sarees | Salwar suits/Kurtis | Formal office wear,Clay/Terracotta,Earthy tones | White/Off-white,Wedding/family function | Sale events,D2C brand website,Brand trust | Design/Aesthetics | Quality/Durability,Once a month,1,Don't use social for discovery,5,Doubt about quality,Very likely,1
R0871,Price-Sensitive Middle India,26-35,Female,Assam,Tier-3 town,Up to 10th,When product breaks/runs out,5,Joint family,1.0,Sometimes,Elders / Family head,60001-100000,80000,500-2000,1250,Same price,4,Often,No but interested,rPET Bottles/Containers | Storage Organisers | Agri Crates/Tools,Cotton sarees | Formal office wear,Iron/Cast iron | Non-stick (Teflon) | Aluminium | Clay/Terracotta,White/Off-white,Festivals | Back-to-school | Sale events,Quick commerce (Blinkit/Zepto),Quality/Durability | Price/Affordability | Friends/Family recommendation,Rarely / Only when needed,4,Instagram | YouTube | WhatsApp groups,5,Higher price,Unlikely,0
R0872,Price-Sensitive Middle India,36-50,Female,Uttar Pradesh,Tier-2 city,Undergraduate,When product breaks/runs out,4,Nuclear,3.0,Yes,Elders / Family head,30001-60000,45000,Below 500,300,Same price,5,Never,No but interested,rPET Bottles/Containers | Storage Organisers | Agri Crates/Tools | Stationery/School Supplies,Cotton sarees | Silk/Banarasi sarees | Synthetic/polyester sarees | Western wear,Non-stick (Teflon) | Clay/Terracotta,Earthy tones | Pastels,New home/shifting | When product breaks/runs out,Modern retail (D-Mart etc.),Price/Affordability | Brand trust | Eco-friendly credentials,Once a month,5,Instagram | YouTube | WhatsApp groups | Meesho/ShareChat,3,Doubt about quality,Unlikely,0
R0873,Student Young Urban,26-35,Female,Karnataka,Tier-2 city,Undergraduate,Festivals,3,Nuclear,0.0,Sometimes,Partner / Spouse,15000-30000,22500,2001-5000,3500,Up to 25% more,2,Sometimes,No but interested,rPET Bottles/Containers | Storage Organisers | Stationery/School Supplies,Salwar suits/Kurtis | Western wear,Iron/Cast iron | Non-stick (Teflon) | Stainless steel | Clay/Terracotta,Dark/Neutral | White/Off-white | Earthy tones,Festivals | Wedding/family function | Back-to-school,Online Amazon/Flipkart,Eco-friendly credentials | Design/Aesthetics | Quality/Durability,Once every 3 months,5,Instagram | YouTube | WhatsApp groups,4,Distrust eco-claims (greenwashing),Very unlikely,0
R0874,Price-Sensitive Middle India,26-35,Female,Andhra Pradesh,Rural / Village,12th / Diploma,New home/shifting,3,Joint family,1.0,Sometimes,Elders / Family head,30001-60000,45000,500-2000,1250,More than 25% premium,3,Sometimes,No and not interested,rPET Bottles/Containers,Silk/Banarasi sarees | Synthetic/polyester sarees | Salwar suits/Kurtis | Formal office wear,Iron/Cast iron | Stainless steel,Earthy tones | Bright/Vibrant | Pastels,Festivals | New home/shifting | Sale events,Online Amazon/Flipkart,Price/Affordability | Brand trust | Eco-friendly credentials,Once a month,5,Instagram | WhatsApp groups,3,Higher price,Unlikely,0
R0875,Urban Eco Millennial,26-35,Male,Odisha,Metro,Postgraduate or above,New home/shifting,3,Joint family,0.0,Yes,Partner / Spouse,60001-100000,80000,500-2000,1250,Up to 25% more,4,Often,Yes once or twice,Outdoor Garden Furniture | Stationery/School Supplies,Silk/Banarasi sarees | Salwar suits/Kurtis | Western wear,Non-stick (Teflon),Pastels | Earthy tones | White/Off-white,Festivals | New home/shifting | Wedding/family function | Sale events,D2C brand website,Design/Aesthetics | Eco-friendly credentials | Price/Affordability,Once a month,2,Instagram | WhatsApp groups,5,Not easily available,Neutral,0
R0876,Urban Eco Millennial,36-50,Male,Karnataka,Metro,Postgraduate or above,New home/shifting,4,Nuclear,0.0,Yes,Elders / Family head,60001-100000,80000,2001-5000,3500,More than 25% premium,5,Often,Yes once or twice,rPET Bottles/Containers,Silk/Banarasi sarees | Western wear,Clay/Terracotta,White/Off-white | Bright/Vibrant,When product breaks/runs out,Online Amazon/Flipkart,Eco-friendly credentials | Price/Affordability | Brand trust,Once a month,5,Facebook,4,Distrust eco-claims (greenwashing),Very likely,1
R0877,Traditional Joint Family,Above 50,Female,Maharashtra,Tier-2 city,Postgraduate or above,New home/shifting,5,Joint family,0.0,Yes,Elders / Family head,15000-30000,22500,Below 500,300,Up to 25% more,3,Sometimes,No but interested,rPET Bottles/Containers | Outdoor Garden Furniture | Storage Organisers | Agri Crates/Tools,Cotton sarees,Iron/Cast iron | Stainless steel | Ceramic-coated | Clay/Terracotta,Bright/Vibrant | Earthy tones,Wedding/family function | Back-to-school | Sale events,Modern retail (D-Mart etc.),Price/Affordability | Friends/Family recommendation | Design/Aesthetics,Once a month,4,WhatsApp groups,4,Higher price,Unlikely,0
R0878,Student Young Urban,18-25,Male,Kerala,Metro,Undergraduate,Back-to-school,3,Nuclear,0.0,Yes,Elders / Family head,30001-60000,45000,2001-5000,3500,Up to 10% more,3,Often,Yes regularly,Storage Organisers | Stationery/School Supplies,Western wear | Formal office wear,Non-stick (Teflon),Earthy tones,Festivals | Back-to-school,Online Amazon/Flipkart,Quality/Durability | Brand trust | Social media/Influencer,2-3 times a month,5,Instagram,3,Doubt about quality,Unlikely,0
R0879,Urban Eco Millennial,26-35,Male,Uttar Pradesh,Metro,Undergraduate,New home/shifting,1,Nuclear,3.0,Yes,Self,60001-100000,80000,5001-10000,7500,Up to 25% more,4,Always / It's a habit,Yes regularly,rPET Bottles/Containers | Outdoor Garden Furniture | Storage Organisers | Stationery/School Supplies,Salwar suits/Kurtis | Western wear | Formal office wear,Non-stick (Teflon),White/Off-white | Earthy tones,Festivals | Sale events | When product breaks/runs out,Online Amazon/Flipkart,Quality/Durability | Price/Affordability | Design/Aesthetics,Rarely / Only when needed,4,Instagram | YouTube | WhatsApp groups,4,Not easily available,Neutral,0
R0880,Price-Sensitive Middle India,36-50,Male,Punjab,Rural / Village,12th / Diploma,New home/shifting,5,Joint family,1.0,Yes,Partner / Spouse,30001-60000,45000,500-2000,1250,Same price,2,Rarely,Yes once or twice,Stationery/School Supplies,Silk/Banarasi sarees | Synthetic/polyester sarees | Western wear | Formal office wear,Non-stick (Teflon) | Stainless steel,,Festivals | Wedding/family function | Sale events | When product breaks/runs out,Local market / Kirana,Price/Affordability | Friends/Family recommendation | Brand trust,Once every 3 months,5,Instagram | YouTube | Facebook | WhatsApp groups | Meesho/ShareChat | Don't use social for discovery,3,Distrust eco-claims (greenwashing),Unlikely,0
R0881,Price-Sensitive Middle India,26-35,Male,Maharashtra,Tier-2 city,Undergraduate,When product breaks/runs out,1,Nuclear,0.0,Yes,Both equally,60001-100000,80000,2001-5000,3500,Up to 25% more,3,Rarely,No but interested,Storage Organisers,Silk/Banarasi sarees | Salwar suits/Kurtis | Western wear | Formal office wear,Stainless steel | Aluminium,Bright/Vibrant,Festivals | New home/shifting | Wedding/family function | Sale events | When product breaks/runs out,D2C brand website,Price/Affordability | Design/Aesthetics | Brand trust,2-3 times a month,3,Instagram | YouTube | WhatsApp groups | Meesho/ShareChat,3,Doubt about quality,Neutral,0
R0882,Student Young Urban,26-35,Female,Uttar Pradesh,Metro,12th / Diploma,Festivals,1,Nuclear,0.0,Yes,Both equally,Below 15000,10000,500-2000,1250,Only if cheaper,3,Often,No but interested,Storage Organisers | Stationery/School Supplies,Western wear | Formal office wear,Non-stick (Teflon) | Clay/Terracotta,Pastels | Dark/Neutral,Festivals | Wedding/family function | Back-to-school,Quick commerce (Blinkit/Zepto),Brand trust | Friends/Family recommendation | Social media/Influencer,2-3 times a month,4,YouTube | Facebook | WhatsApp groups,3,Distrust eco-claims (greenwashing),Very unlikely,0
R0883,Urban Eco Millennial,26-35,Male,Haryana,Metro,Postgraduate or above,Sale events,3,Nuclear,0.0,Yes,Self,60001-100000,80000,5001-10000,7500,Up to 10% more,5,Always / It's a habit,Yes regularly,rPET Bottles/Containers | Outdoor Garden Furniture,Cotton sarees | Salwar suits/Kurtis | Formal office wear,Ceramic-coated,Pastels,Sale events,Online Amazon/Flipkart,Eco-friendly credentials | Quality/Durability | Price/Affordability,Weekly,5,Instagram | YouTube,2,No barrier - would buy,Likely,1
R0884,Urban Eco Millennial,26-35,Female,Tamil Nadu,Metro,Undergraduate,Back-to-school,2,Nuclear,0.0,No,Partner / Spouse,Above 100000,130000,2001-5000,3500,More than 25% premium,5,Often,No but interested,Storage Organisers,Synthetic/polyester sarees | Western wear | Formal office wear,Stainless steel | Ceramic-coated,Earthy tones | Pastels,Wedding/family function | Sale events,Online Amazon/Flipkart,Quality/Durability | Friends/Family recommendation | Eco-friendly credentials,Once every 3 months,4,Instagram | Facebook | WhatsApp groups,4,Distrust eco-claims (greenwashing),Likely,1
R0885,Traditional Joint Family,36-50,Female,Madhya Pradesh,Tier-3 town,Up to 10th,Back-to-school,3,Joint family,3.0,Yes,Both equally,15000-30000,22500,500-2000,1250,Same price,1,Rarely,Yes once or twice,rPET Bottles/Containers | Outdoor Garden Furniture | Storage Organisers,Cotton sarees | Silk/Banarasi sarees | Synthetic/polyester sarees | Salwar suits/Kurtis,,,New home/shifting | Wedding/family function | When product breaks/runs out,Local market / Kirana,Price/Affordability | Friends/Family recommendation | Quality/Durability,Once a month,4,Instagram | Facebook | WhatsApp groups | Meesho/ShareChat | Don't use social for discovery,4,Doubt about quality,Unlikely,0
R0886,Urban Eco Millennial,36-50,Female,Jharkhand,Metro,Postgraduate or above,Back-to-school,4,Nuclear,0.0,Yes,Elders / Family head,60001-100000,80000,Above 10000,12000,Up to 10% more,3,Always / It's a habit,Yes once or twice,rPET Bottles/Containers,Salwar suits/Kurtis | Western wear | Formal office wear,Iron/Cast iron | Non-stick (Teflon) | Stainless steel | Ceramic-coated | Aluminium | Clay/Terracotta,Pastels | Earthy tones,Festivals | New home/shifting | Wedding/family function | Sale events | When product breaks/runs out,Online Amazon/Flipkart,Eco-friendly credentials | Quality/Durability | Brand trust,Weekly,4,YouTube | Facebook | WhatsApp groups,3,No barrier - would buy,Very likely,1
R0887,Student Young Urban,26-35,Female,Chhattisgarh,Metro,Undergraduate,Festivals,1,Joint family,0.0,Yes,Self,30001-60000,45000,500-2000,1250,Up to 10% more,5,Rarely,No but interested,Storage Organisers | Stationery/School Supplies,Silk/Banarasi sarees | Synthetic/polyester sarees | Western wear,Iron/Cast iron | Stainless steel | Ceramic-coated,Dark/Neutral | Bright/Vibrant,New home/shifting | Back-to-school | When product breaks/runs out,Online Amazon/Flipkart,Price/Affordability | Design/Aesthetics | Quality/Durability,Rarely / Only when needed,4,Instagram,3,Doubt about quality,Neutral,0
R0888,Price-Sensitive Middle India,36-50,Male,Punjab,Metro,Undergraduate,Wedding/family function,3,Joint family,1.0,Sometimes,Both equally,30001-60000,45000,Below 500,300,Up to 10% more,4,Never,No but interested,Storage Organisers,Cotton sarees | Synthetic/polyester sarees | Salwar suits/Kurtis | Formal office wear,Iron/Cast iron | Non-stick (Teflon) | Stainless steel,Pastels | White/Off-white | Dark/Neutral,Festivals | New home/shifting | Back-to-school | When product breaks/runs out,Modern retail (D-Mart etc.),Quality/Durability | Design/Aesthetics | Eco-friendly credentials,Rarely / Only when needed,3,Instagram | Facebook | Meesho/ShareChat,1,Doubt about quality,Very unlikely,0
R0889,Urban Eco Millennial,18-25,Male,Madhya Pradesh,Metro,Postgraduate or above,New home/shifting,3,Nuclear,0.0,Yes,Both equally,60001-100000,80000,5001-10000,7500,More than 25% premium,4,Sometimes,Yes regularly,rPET Bottles/Containers | Outdoor Garden Furniture,Salwar suits/Kurtis,Non-stick (Teflon) | Stainless steel,Earthy tones | Bright/Vibrant | Dark/Neutral,Festivals | Back-to-school | Sale events | When product breaks/runs out,Modern retail (D-Mart etc.),Eco-friendly credentials | Brand trust | Quality/Durability,Once a month,3,Instagram | YouTube | Facebook | WhatsApp groups,5,Doubt about quality,Likely,1
R0890,Price-Sensitive Middle India,26-35,Female,Madhya Pradesh,Tier-2 city,12th / Diploma,New home/shifting,5,Nuclear,3.0,Sometimes,Partner / Spouse,15000-30000,22500,500-2000,1250,Same price,4,Rarely,No but interested,Outdoor Garden Furniture,Cotton sarees | Salwar suits/Kurtis | Western wear | Formal office wear,Iron/Cast iron | Non-stick (Teflon) | Stainless steel | Aluminium | Clay/Terracotta,Earthy tones | White/Off-white,Festivals | New home/shifting | Back-to-school | Sale events | When product breaks/runs out,Local market / Kirana,Price/Affordability | Quality/Durability | Brand trust,Once every 3 months,4,YouTube | Facebook | WhatsApp groups,4,Doubt about quality,Unlikely,0
R0891,Traditional Joint Family,Above 50,Male,Madhya Pradesh,Tier-3 town,Postgraduate or above,When product breaks/runs out,5,Joint family,2.0,Yes,Self,30001-60000,45000,Below 500,300,Up to 25% more,5,Never,No but interested,rPET Bottles/Containers | Storage Organisers | Agri Crates/Tools | Stationery/School Supplies,Cotton sarees | Silk/Banarasi sarees | Salwar suits/Kurtis,Non-stick (Teflon) | Stainless steel | Aluminium | Clay/Terracotta,White/Off-white | Bright/Vibrant | Dark/Neutral,Festivals | New home/shifting | When product breaks/runs out,Online Amazon/Flipkart,Quality/Durability | Design/Aesthetics | Eco-friendly credentials,Once a month,5,YouTube | Facebook,5,Doubt about quality,Neutral,0
